Rank,Movie,Release Date,Distributor,Genre,MPAA,2015 Gross,Tickets Sold,account_name,handle_name,IMDB Rating
54,Poltergeist,5/22/15,20th Century Fox,Horror,PG-13,47425125,5625756,Poltergeist,Poltergeist,5
55,Sicario,9/18/15,Lionsgate,Thriller/Suspense,R,46823967,5554444,Sicario,SicarioMovie,7.7
56,The Man From U.N.C.L.E.,8/14/15,Warner Bros.,Action,PG-13,45445109,5390878,The Man From UNCLE,ManFromUNCLE,7.3
57,The Gift,8/7/15,STX Entertainment,Thriller/Suspense,R,43787265,5194218,The Gift Movie,GiftMovie,7.1
58,Everest,9/18/15,Universal,Thriller/Suspense,PG-13,43309450,5137538,#EverestMovie,everestmovie,7.1
59,The Night Before,11/20/15,Sony Pictures,Comedy,R,42977255,5098132,The Night Before,TheNightBefore_,7.2
60,The Age of Adaline,4/24/15,Lionsgate,Drama,PG-13,42629776,5056912,The Age of Adaline,AgeOfAdaline,7.2
61,Krampus,12/4/15,Universal,Black Comedy,PG-13,42277730,5015151,Krampus,KrampusMovie,6.7
62,Joy,12/25/15,20th Century Fox,Drama,PG-13,38521065,4569521,Joy Movie,JoyTheMovie,6.7
63,The Longest Ride,4/10/15,20th Century Fox,Drama,PG-13,37446117,4442006,The Longest Ride,TheLongestRide,7.1
64,Into the Woods,12/25/14,Walt Disney,Musical,PG,37130717,4404592,Into The Woods,IntoTheWoods,6
65,The Boy Next Door,1/23/15,Universal,Thriller/Suspense,R,35423380,4202061,#TheBoyNextDoor,TheBoyNextDoor,4.6
66,Pan,10/9/15,Warner Bros.,Adventure,PG,35081641,4161523,PAN,panmovie,5.9
67,Hot Pursuit,5/8/15,Warner Bros.,Comedy,PG-13,34580201,4102040,Hot Pursuit,hotpursuitmovie,5.1
68,The Hobbit: The Battle of the Five Armies,12/17/14,Warner Bros.,Adventure,PG-13,34517771,4094634,The Hobbit,TheHobbitMovie,7.5
69,The DUFF,2/20/15,CBS Films,Comedy,PG-13,34030343,4036814,The Duff,TheDUFF,6.6
70,The Big Short,12/11/15,Paramount Pictures,Drama,R,33055481,3921172,The Big Short Movie,thebigshort,7.9
71,Unfriended,4/17/15,Universal,Horror,R,32482090,3853154,Unfriended,UnfriendedMovie,5.7
72,Entourage,6/3/15,Warner Bros.,Comedy,R,32363404,3839075,Entourage Movie,entouragemovie,6.7
73,Paper Towns,7/24/15,20th Century Fox,Drama,PG-13,32000304,3796002,Paper Towns,PaperTownsMovie,6.4
74,Chappie,3/6/15,Sony Pictures,Action,R,31569268,3744871,Chappie Movie,ChappieTheMovie,6.9
75,Crimson Peak,10/16/15,Universal,Horror,R,31090320,3688056,#CrimsonPeak,crimsonpeak,6.7
76,A Walk in the Woods,9/2/15,Broad Green Pictures,Adventure,R,29499394,3499334,A Walk In The Woods,awalkinwoodsmov,6.4
77,The Hateful Eight,12/25/15,Weinstein Co.,Western,R,29045855,3445534,The Hateful Eight,thehatefuleight,8
78,Unbroken,12/25/14,Universal,Drama,PG-13,27986400,3319857,Unbroken,UnbrokenFilm,7.2
79,Sinister 2,8/21/15,Focus Features,Horror,R,27740955,3290741,Sinster 2,SinisterMovie,5.3
80,The Last Witch Hunter,10/23/15,Lionsgate,Action,PG-13,27367660,3246460,Last Witch Hunter IT,WitchHunterIT,6
81,No Escape,8/26/15,Weinstein Co.,Thriller/Suspense,R,27288872,3237114,No Escape,NoEscape,6.8
82,Spotlight,11/6/15,Open Road,Thriller/Suspense,R,27108972,3215773,SPOTLIGHT Movie,SpotlightMovie,8.2
83,Ricki and the Flash,8/7/15,Sony Pictures,Drama,PG-13,26822144,3181748,Ricki and the Flash,RickiMovie,6
84,The Woman in Black 2: Angel of Death,1/2/15,Relativity,Horror,PG-13,26501323,3143691,WomanInBlackUK,WomanInBlackUK,4.9
85,Run All Night,3/13/15,Warner Bros.,Action,R,26461644,3138985,Run All Night,RunAllNightFilm,6.6
86,Love the Coopers,11/13/15,CBS Films,Comedy,PG-13,26193757,3107207,Love The Coopers,lovethecoopers,5.7
87,Ex Machina,4/24/15,A24,Thriller/Suspense,R,25440971,3017908,Ex Machina,ExMachinaMovie,7.7
88,Concussion,12/25/15,Sony Pictures,Drama,PG-13,25266650,2997230,Concussion Movie,ConcussionMovie,7.1
89,Night at the Museum: Secret of the Tomb,12/19/14,20th Century Fox,Adventure,PG,23899442,2835046,Night at the Museum,MuseumMovies,6.3
